64
2004 8 19 100.335
2004 8 20 108.31
2004 8 23 109.4
2004 8 24 104.87
2004 8 25 106
2004 8 26 107.91
2004 8 27 106.15
2004 8 30 102.01
2004 8 31 102.37
2004 9 1 100.25
2004 9 2 101.51
2004 9 3 100.01
2004 9 7 101.58
2004 9 8 102.3
2004 9 9 102.31
2004 9 10 105.33
2004 9 13 107.5
2004 9 14 111.49
2004 9 15 112
2004 9 16 113.97
2004 9 17 117.49
2004 9 20 119.36
2004 9 21 117.84
2004 9 22 118.38
2004 9 23 120.82
2004 9 24 119.83
2004 9 27 118.26
2004 9 28 126.86
2004 9 29 131.08
2004 9 30 129.6
2004 10 1 132.58
2004 10 4 135.06
2004 10 5 138.37
2004 10 6 137.08
2004 10 7 138.85
2004 10 8 137.73
2004 10 11 135.26
2004 10 12 137.4
2004 10 13 140.9
2004 10 14 142
2004 10 15 144.11
2004 10 18 149.16
2004 10 19 147.94
2004 10 20 140.49
2004 10 21 149.38
2004 10 22 172.43
2004 10 25 187.4
2004 10 26 181.8
2004 10 27 185.97
2004 10 28 193.3
2004 10 29 190.64
2004 11 1 196.03
2004 11 2 194.87
2004 11 3 191.67
2004 11 4 184.7
2004 11 5 169.35
2004 11 8 172.55
2004 11 9 168.7
2004 11 10 167.86
2004 11 11 183.02
2004 11 12 182
2004 11 15 184.87
2004 11 16 172.545
2004 11 17 172.5
